filename,page,line_on_page,code,confidence,reason,text
Invoice(41).pdf,1,3,,LOW,No decimal prices found; Only 5 fields (expected 8); Contains special characters,"Unit 12, Ballyvourney Industrial Estate"
Invoice(41).pdf,1,5,,LOW,No decimal prices found; No quantity pattern found; Only 1 fields (expected 8),Ballyvourney
Invoice(41).pdf,1,13,353,LOW,No decimal prices found,353 057 9125881 R42TY29 353 057 9125881 R42TY29
Invoice(41).pdf,1,35,,MEDIUM,Contains special characters,1 23.00 111.38 25.62 DRS 15c 0 0.00 Tax: 29.16
Invoice(41).pdf,1,36,,MEDIUM,Unknown,0 0.00 311.78 0.00 DRS 25c 0 0.00
Invoice(41).pdf,1,38,,MEDIUM,Only 4 fields (expected 8),2 13.50 26.19 3.54
Invoice(43).pdf,1,3,,LOW,No decimal prices found; Only 5 fields (expected 8); Contains special characters,"Unit 12, Ballyvourney Industrial Estate"
Invoice(43).pdf,1,5,,LOW,No decimal prices found; No quantity pattern found; Only 1 fields (expected 8),Ballyvourney
Invoice(43).pdf,1,13,353,LOW,No decimal prices found,353 057 9125881 R42TY29 353 057 9125881 R42TY29
Invoice(43).pdf,1,18,,MEDIUM,Contains special characters,1 0.00 0.00 0.00 DRS 15c 0 0.00 Tax: 0.00
Invoice(43).pdf,1,19,DRS,MEDIUM,Only 4 fields (expected 8),DRS 25c 0 0.00
Invoice(42).pdf,1,3,,LOW,No decimal prices found; Only 5 fields (expected 8); Contains special characters,"Unit 12, Ballyvourney Industrial Estate"
Invoice(42).pdf,1,5,,LOW,No decimal prices found; No quantity pattern found; Only 1 fields (expected 8),Ballyvourney
Invoice(42).pdf,1,13,353,LOW,No decimal prices found,353 057 9125881 R42TY29 353 057 9125881 R42TY29
Invoice(42).pdf,2,3,,LOW,No decimal prices found; Only 5 fields (expected 8); Contains special characters,"Unit 12, Ballyvourney Industrial Estate"
Invoice(42).pdf,2,5,,LOW,No decimal prices found; No quantity pattern found; Only 1 fields (expected 8),Ballyvourney
Invoice(42).pdf,2,13,353,LOW,No decimal prices found,353 057 9125881 R42TY29 353 057 9125881 R42TY29
Invoice(42).pdf,3,3,,LOW,No decimal prices found; Only 5 fields (expected 8); Contains special characters,"Unit 12, Ballyvourney Industrial Estate"
Invoice(42).pdf,3,5,,LOW,No decimal prices found; No quantity pattern found; Only 1 fields (expected 8),Ballyvourney
Invoice(42).pdf,3,13,353,LOW,No decimal prices found,353 057 9125881 R42TY29 353 057 9125881 R42TY29
Invoice(42).pdf,4,3,,LOW,No decimal prices found; Only 5 fields (expected 8); Contains special characters,"Unit 12, Ballyvourney Industrial Estate"
Invoice(42).pdf,4,5,,LOW,No decimal prices found; No quantity pattern found; Only 1 fields (expected 8),Ballyvourney
Invoice(42).pdf,4,13,353,LOW,No decimal prices found,353 057 9125881 R42TY29 353 057 9125881 R42TY29
Invoice(42).pdf,5,3,,LOW,No decimal prices found; Only 5 fields (expected 8); Contains special characters,"Unit 12, Ballyvourney Industrial Estate"
Invoice(42).pdf,5,5,,LOW,No decimal prices found; No quantity pattern found; Only 1 fields (expected 8),Ballyvourney
Invoice(42).pdf,5,13,353,LOW,No decimal prices found,353 057 9125881 R42TY29 353 057 9125881 R42TY29
Invoice(42).pdf,5,24,,MEDIUM,Contains special characters,1 23.00 559.10 128.61 DRS 15c 13 1.95 Tax: 149.40
Invoice(42).pdf,5,25,,MEDIUM,Contains special characters,"0 0.00 1,195.20 0.00 DRS 25c 0 0.00"
Invoice(42).pdf,5,27,,MEDIUM,Only 4 fields (expected 8),2 13.50 153.89 20.79
